City,State,Mayor,Party
Anchorage,AK,Ethan Berkowitz,Democrat
Juneau,AK,Ken Koelsch,Democrat
Birmingham,AL,William A. Bell,Democrat
Mobile,AL,Sandy Stimpson,Republican
Montgomery,AL,Todd Strange,Republican
Chandler,AZ,Jay Tibshraeny,Republican
Gilbert,AZ,Jenn Daniels,Republican
Glendale,AZ,Jerry Weiers,Republican
Mesa,AZ,John Giles,Republican
Phoenix,AZ,Greg Stanton,Democrat
Scottsdale,AZ,Jim Lane,Republican
Tucson,AZ,Jonathan Rothschild,Democrat
Anaheim,CA,Tom Tait,Republican
Bakersfield,CA,Karen Goh,Republican
Chula Vista,CA,Mary Salas,Democrat
Fremont,CA,Lily Mei,Democrat
Fresno,CA,Lee Brand,Republican
Irvine,CA,Donald P. Wagner,Republican
Long Beach,CA,Robert Garcia,Democrat
Los Angeles,CA,Eric Garcetti,Democrat
Modesto,CA,Ted Brandvold,Republican
Oakland,CA,Elizabeth Schaaf,Democrat
Riverside,CA,Rusty Bailey,Independent
Sacramento,CA,Darrell Steinberg,Democrat
San Bernadino,CA,Carey Davis,Republican
San Diego,CA,Kevin Faulconer,Republican
San Francisco,CA,Edwin M. Lee,Democrat
San Jose,CA,Sam Liccardo,Democrat
Santa Ana,CA,Miguel Pulido,Democrat
Stockton,CA,Michael Tubbs,Democrat
Aurora,CO,Steve Hogan,Republican
Colorado Springs,CO,John W. Suthers,Republican
Denver,CO,Michael B. Hancock,Democrat
Hartford,CT,Luke Bronin,Democrat
Washingon,DC,Muriel Bowser,Democrat
Hialeah,FL,Carlos Hernandez,Republican
Jacksonville,FL,Lenny Curry,Republican
Miami,FL,Tomas Regalado,Republican
Orlando,FL,Buddy Dyer,Democrat
St. Petersburg,FL,Rick Kriseman,Democrat
Tampa,FL,Bob Buckhorn,Democrat
Atlanta,GA,Kasim Reed,Democrat
Savanna,GA,Eddie DeLoach,Republican
Honolulu,HI,Kirk Caldwell,Democrat
Des Moines,IA,Frank Cownie,Democrat
Boise,ID,David Bieter,Democrat
Chicago,IL,Rahm Emanuel,Democrat
Fort Wayne,IN,Tom Henry,Democrat
Indianapolis,IN,Joseph Hogsett,Democrat
Topeka,KS,Larry Wolgast,Democrat
Wichita,KS,Jeff Longwell,Republican
Lexington,KY,Jim Gray,Democrat
Louisville,KY,Greg Fischer,Democrat
Baton Rouge,LA,Sharon Weston Broome,Democrat
New Orleans,LA,Mitch Landrieu,Democrat
Shreveport,LA,Ollie Tyler,Democrat
Boston,MA,Martin Walsh,Democrat
Annapolis,MD,Mike Pantelides,Republican
Baltimore,MD,Catherine Pugh,Democrat
Portland,ME,Ethan Strimling,Democrat
Detroit,MI,Mike Duggan,Democrat
Lansing,MI,Virgil Bernero,Democrat
Minneapolis,MN,Betsy Hodges,Democrat
St. Paul,MN,Chris Coleman,Democrat
Kansas City,MO,Sly James,Democrat
St. Louis,MO,Lyda Krewson,Democrat
Jackson,MS,Tony Yarber,Democrat
Charlotte,NC,Jennifer Roberts,Democrat
Durham,NC,Bill Bell,Democrat
Greensboro,NC,Nancy B. Vaughan,Democrat
Raleigh,NC,Nancy McFarlane,Democrat
Winston-Salem,NC,Allen Joines,Democrat
Bismarck,ND,Mike Seminary,Independent
Lincoln,NE,Chris Beutler,Democrat
Omaha,NE,Jean Stothert,Republican
Manchester,NH,Ted Gatsas,Republican
Jersey City,NJ,Steven Fulop,Democrat
Newark,NJ,Ras J. Baraka,Democrat
Trenton,NJ,Eric Jackson,Democrat
Santa Fe,NM,Javier Gonzales,Democrat
Albuquerque,NM,Richard Berry,Republican
Henderson,NV,Andy A. Hafen,Democrat
Las Vegas,NV,Carolyn Goodman,Independent
North Las Vegas,NV,John J. Lee,Democrat
Reno,NV,Hillary Schieve,Democrat
Albany,NY,Kathy Sheehan,Democrat
Buffalo,NY,Byron Brown,Democrat
New York,NY,Bill de Blasio,Democrat
Rochester,NY,Lovely Warren,Democrat
Syracuse,NY,Stephanie Miner,Democrat
Akron,OH,Dan Horrigan,Democrat
Cincinnati,OH,John Cranley,Democrat
Cleveland,OH,Frank Jackson,Democrat
Columbus,OH,Andrew J. Ginther,Democrat
Toledo,OH,Paula Hicks-Hudson,Democrat
Oklahoma City,OK,Mick Cornett,Republican
Tulsa,OK,G.T. Bynum,Republican
Portland,OR,Ted Wheeler,Democrat
Philadelphia,PA,James Kenney,Democrat
Pittsburgh,PA,Bill Peduto,Democrat
Providence,RI,Jorge Elorza,Democrat
Charleston,SC,John Tecklenberg,Democrat
Memphis,TN,Jim Strickland,Democrat
Nashville,TN,Megan Barry,Democrat
Arlington,TX,Jeff Williams,Independent
Austin,TX,Stephen Adler,Democrat
Corpus Christi,TX,Joe McComb,Independent
Dallas,TX,Mike Rawlings,Democrat
El Paso,TX,Oscar Leeser,Democrat
Fort Worth,TX,Betsy Price,Republican
Garland,TX,Douglas Athas,Republican
Houston,TX,Sylvester Turner,Democrat
Irving,TX,Beth Van Duyne,Republican
Laredo,TX,Pete Saenz,Independent
Lubbock,TX,Dan Pope,Republican
Plano,TX,Harry LaRosiliere,Independent
San Antonio,TX,Ivy R. Taylor,Democrat
Salt Lake City,UT,Jackie Biskupski,Democrat
Chesapeake,VA,Alan P. Krasnoff,Republican
Norfolk,VA,Kenneth Alexander,Democrat
Richmond,VA,Levar Stoney,Democrat
Virginia Beach,VA,Will Sessoms,Republican
Seattle,WA,Ed Murray,Democrat
Madison,WI,Paul Soglin,Democrat
Milwaukee,WI,Tom Barrett,Democrat
